nom,time,tweet,is_retweet,rt_nom
@JLMelenchon,2017-04-04T20:26:08Z,RT @Anissa2403: Wouah brillante intervention de #Melenchon sur le terrorisme et sur les questions géopolitiques #LeGrandDebat #JLM2017,TRUE,Anissa2403
@JLMelenchon,2017-04-04T20:25:44Z,RT @jlm_2017: Voici le livret rassemblant nos propositions en terme de #Sécurité. Retour à la raison ! #LeGrandDebat #Melenchon https://t.c…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T20:25:15Z,"RT @jlm_2017: Lafarge doit être condamné de manière exemplaire, on ne pactise pas avec l'ennemi ! https://t.co/fKUa9ctonf #JLM2017 #LeGrand…",TRUE,jlm_2017
@JLMelenchon,2017-04-04T20:24:36Z,"La stratégie d'abord, l'argent après : c'est comme ça qu'on réfléchit en matière militaire. #LeGrandDebat https://t.co/27YyjuunAL",FALSE,NA
@JLMelenchon,2017-04-04T20:23:54Z,Il faut sortir de l'État d'urgence permanent. #LeGrandDebat https://t.co/27YyjuunAL,FALSE,NA
@JLMelenchon,2017-04-04T20:23:17Z,Il faut punir les complices du terrorisme. #Lafarge a collaboré avec #Daech. Elle doit être réquisitionnée ou confisquée. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:21:41Z,Il ne faut pas donner l'avantage aux terroristes en les laissant nous diviser. #LeGrandDebat https://t.co/27YyjuunAL,FALSE,NA
@JLMelenchon,2017-04-04T20:21:08Z,"Pour lutter contre le #terrorisme, il faut mettre les moyens dans le renseignement humain. #LeGrandDebat https://t.co/27YyjuunAL",FALSE,NA
@JLMelenchon,2017-04-04T20:20:42Z,"Dans le terrorisme, il faut faire preuve de discernement. La vraie question est l'accès aux matières premières. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T20:20:08Z,"La résolution adoptée par l'#ONU, dans laquelle je me retrouve, dit que c'est au Syrien de décider de l'avenir de leur pays. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T20:15:53Z,Sur les questions de géopolitique et de défense : https://t.co/eWmXnfILsU. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:14:16Z,Sur le #terrorisme et la sécurité pour aller plus loin que la minute autorisée : https://t.co/TUBjhonwaW. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T20:09:02Z,"Sur les question de #Sécurité, retrouvez notre livret : https://t.co/PEdQOGU8CV. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T20:01:26Z,RT @g1bonQ: IL L'A FAIT https://t.co/Gk4wzsfLFV,TRUE,g1bonQ
@JLMelenchon,2017-04-04T19:58:54Z,Je ne connais pas d'autre manière de décider que la démocratie. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:57:52Z,"Je veux formuler une proposition européenne, négocier, et présenter le résultat de la négociation au référendum des Français. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T19:56:53Z,"La question centrale, c'est la puissance de la France. Nous représentons 18% de l'économie européenne. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T19:46:28Z,RT @LiseMaillard: .@JLMelenchon est le seul à parler du #CETA en plus des traités européens ! Merci ! Il faut informer. #LeGrandDebat #Mele…,TRUE,LiseMaillard
@JLMelenchon,2017-04-04T19:44:57Z,"RT @gilles_dordor: #Mélenchon le meilleur du #LeGrandDebat sans aucun doute , le plus clair et juste !",TRUE,gilles_dordor
@JLMelenchon,2017-04-04T19:39:29Z,RT @FabSintes: Il a raison. https://t.co/HCXIOzvbFo,TRUE,FabSintes
@JLMelenchon,2017-04-04T19:39:18Z,RT @Sylvqin: 💝 https://t.co/ZmjCXXDBOq,TRUE,Sylvqin
@JLMelenchon,2017-04-04T19:38:13Z,RT @CNEWS: .@JLMelenchon reprend @MLP_officiel sur la question des travailleurs détachés #LeGrandDébat https://t.co/Y00eWTK557,TRUE,CNEWS
@JLMelenchon,2017-04-04T19:35:24Z,"RT @jlm_2017: Ce n'est pas l'idée européenne que nous mettons en cause, ce sont les traités actuels ! #JLM2017 @JLMelenchon #LeGrandDebat h…",TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:35:04Z,RT @maxn002: #Melenchon est de nouveau le candidat le plus convaincant #LeGrandDebat #JLM2017,TRUE,maxn002
@JLMelenchon,2017-04-04T19:34:39Z,"RT @BFMTV: EN DIRECT - #LeGrandDebat: ""Il faut sortir des traités européens"", martèle @JLMelenchon https://t.co/RW0RgDPD3Y https://t.co/ZCY…",TRUE,BFMTV
@JLMelenchon,2017-04-04T19:29:30Z,Il va y avoir le #CETA et le #TAFTA. J'y suis opposé. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:29:08Z,"Moi, je crois à la puissance de la France. Il faut sortir des traités européens. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T19:28:24Z,L'harmonisation sociale est interdite dans les traités européens. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:27:45Z,L'organisation de l'#Europe favorise l'exploitation. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:24:21Z,RT @jlm_2017: Le statut des travailleurs détachés sera interdit en France dès mon élection. @JLMelenchon #LeGrandDebat #JLM2017 https://t.c…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:24:13Z,RT @pierreh_paulet: #LeGrandDebat Sur la première demi-heure. #Mélenchon qui s'impose déjà d'autorité. Sur la forme ET sur le fond.,TRUE,pierreh_paulet
@JLMelenchon,2017-04-04T19:20:07Z,Le statut de travailleur détaché sera interdit en France dès mon élection. #LeGrandDebat https://t.co/UzdXEzTjoI https://t.co/JeyjcotXzr,FALSE,NA
@JLMelenchon,2017-04-04T19:18:09Z,10% des travailleurs détachés en France sont Français. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:17:23Z,"Oui mais on parlait de celui de la finance, pas de celui des abonnés 😉. 
➡️ https://t.co/J9op3zK0rY https://t.co/XzkODxyuiJ",FALSE,NA
@JLMelenchon,2017-04-04T19:14:04Z,Je suis le seul à avoir voté contre la directive travailleurs détachés au Parlement euro. @MLP_officiel s'est abstenue en 2014.#LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T19:07:44Z,RT @jlm_2017: Nous réduirons les inégalités et combattrons la misère en augmentant les salaires ! @JLMelenchon #LeGrandDebat #JLM2017 https…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:07:37Z,RT @jlm_2017: Je veux mettre fin aux turpitudes de la monarchie présidentielle avec la 6e République. #LeGrandDebat @JLMelenchon #JLM2017 h…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:07:19Z,RT @ChabrierM: En un peu plus d’une minute #Mélenchon prononce un discours qui regroupe les principaux enjeux de notre société vers un aven…,TRUE,ChabrierM
@JLMelenchon,2017-04-04T19:07:11Z,RT @jlm_2017: Nous sortirons des traités européens actuel qui sont nocifs pour les peuples et nous mènent droit dans le mur. #LeGrandDebat…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:07:00Z,RT @FCPG12: #Melenchon est véritablement le sage de cette élection.,TRUE,FCPG12
@JLMelenchon,2017-04-04T19:06:48Z,RT @jlm_2017: Il faut augmenter les salaires pour relancer l'activité. @JLMelenchon #LeGrandDebat https://t.co/JSKejdocCp,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:06:37Z,RT @jlm_2017: Il faut partager le temps de travail : dans la semaine avec les 35h ; dans la vie avec la retraite à 60 ans avec 40 annuités.…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T19:05:25Z,RT @Benoitdx9: Ça y est @JLMelenchon commence 😆,TRUE,Benoitdx9
@JLMelenchon,2017-04-04T19:02:31Z,J'abolirai la loi #ElKhomri. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:02:06Z,Il faut partager le temps de travail : dans la semaine avec les 35h ; dans la vie avec la retraite à 60 ans avec 40 annuités. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T19:01:13Z,Il faut augmenter les salaires pour relancer l'activité. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:00:53Z,Il faut faire la transition écologique car l'agriculture productiviste nous tue. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T19:00:09Z,"Il n'est pas question d'avoir un code du travail par entreprise, pas plus qu'un code de la route par rue. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T18:59:41Z,Il faut rétablir l'ordre social public dans notre pays. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:58:07Z,J'ai l'Histoire de notre peuple en tête. Je suis prêt à gouverner. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:57:14Z,Notre programme est complet et chiffré. #LeGrandDebat https://t.co/fMZv4I3PFx,FALSE,NA
@JLMelenchon,2017-04-04T18:56:31Z,"Nous agirons de toutes nos forces pour la paix, car la guerre menace. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T18:55:54Z,Je veux abolir les traités européens et faire du neuf. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:55:34Z,"L'#Europe reste une grande idée, mais les traités qui l'organisent sont une calamité. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T18:54:20Z,"Pour moi, écologiste, le travail humain doit se mettre en harmonie avec la nature et les animaux. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T18:53:23Z,On ne peut pas vivre heureux dans un océan de malheur : 2000 personnes meurent chaque année dans la rue. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T18:52:22Z,Je veux mettre fin aux turpitudes de la monarchie présidentielle. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:52:02Z,Je n'ai pas de plan de carrière. Je sers un combat. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:51:48Z,J'ai consacré ma vie à une cause : celle du peuple et de la république jusqu'au bout. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T18:46:31Z,"RT @jlm_2017: Suivez notre live du Grand Débat Présidentiel, et commentez sur #LeGrandDebat https://t.co/2SCniCBTBa #JLM2017 #FranceInsoumi…",TRUE,jlm_2017
@JLMelenchon,2017-04-04T18:42:08Z,C'est parti pour #LeGrandDebat sur #CNews et #BFMTV ! Suivez l'#Obsinsoumis sur : https://t.co/UzdXEzTjoI https://t.co/8Ag5k1jmxh,FALSE,NA
@JLMelenchon,2017-04-04T18:07:05Z,"Ce soir, suivez notre #Obsinsoumis sur #LeGrandDebat : https://t.co/u3xG1P6sDU",FALSE,NA
@EmmanuelMacron,2017-04-04T22:45:13Z,"Je veux porter un projet d’émancipation, un projet qui vous redonnera la fierté d’être Français. #Macron2017… https://t.co/lQP9JnsjO3",FALSE,NA
@EmmanuelMacron,2017-04-04T22:44:52Z,La France d’outre-mer vit dans une situation souvent difficile car l’égalité des chances n’est pas au rendez-vous. #Macron2017 #LeGrandDébat,FALSE,NA
@EmmanuelMacron,2017-04-04T22:43:45Z,Je veux protéger ceux qui vivent dans des territoires où les conditions d’accès ne sont pas les mêmes. #Macron2017 #LeGrandDébat,FALSE,NA
@EmmanuelMacron,2017-04-04T22:43:20Z,Je veux protéger ceux qui vivent en situation de handicap - et nous en avons peu parlé ce soir. #Macron2017 #LeGrandDébat,FALSE,NA
@EmmanuelMacron,2017-04-04T22:42:56Z,"Je veux faire l’alternance de l’efficacité, en rassemblant, en renouvelant, en libérant, en protégeant. #Macron2017 #LeGrandDébat",FALSE,NA
@EmmanuelMacron,2017-04-04T22:28:48Z,Je supprimerai la taxe d’habitation pour 80% des Français. #Macron2017 #LeGrandDébat https://t.co/m93MTCrIDI,FALSE,NA
@EmmanuelMacron,2017-04-04T22:25:11Z,"Préserver des emplois publics en matière de santé, doubler les maisons pluridisciplinaires de santé. #Macron2017… https://t.co/OpOfLiaoFl",FALSE,NA
